Date,Emotion,Background Color,Verse (EN)
2024-01-01,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-01-02,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-01-03,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-01-04,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-01-05,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-01-06,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-01-07,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-01-08,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-01-09,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-01-10,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-01-11,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-01-12,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-01-13,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-01-14,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-01-15,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-01-16,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-01-17,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-01-18,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-01-19,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-01-20,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-01-21,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-01-22,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-01-23,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-01-24,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-01-25,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-01-26,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-01-27,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-01-28,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-01-29,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-01-30,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-01-31,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-02-01,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-02-02,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-02-03,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-02-04,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-02-05,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-02-06,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-02-07,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-02-08,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-02-09,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-02-10,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-02-11,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-02-12,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-02-13,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-02-14,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-02-15,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-02-16,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-02-17,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-02-18,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-02-19,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-02-20,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-02-21,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-02-22,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-02-23,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-02-24,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-02-25,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-02-26,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-02-27,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-02-28,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-03-01,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-03-02,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-03-03,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-03-04,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-03-05,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-03-06,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-03-07,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-03-08,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-03-09,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-03-10,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-03-11,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-03-12,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-03-13,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-03-14,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-03-15,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-03-16,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-03-17,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-03-18,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-03-19,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-03-20,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-03-21,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-03-22,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-03-23,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-03-24,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-03-25,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-03-26,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-03-27,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-03-28,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-03-29,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-03-30,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-03-31,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-04-01,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-04-02,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-04-03,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-04-04,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-04-05,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-04-06,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-04-07,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-04-08,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-04-09,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-04-10,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-04-11,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-04-12,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-04-13,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-04-14,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-04-15,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-04-16,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-04-17,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-04-18,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-04-19,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-04-20,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-04-21,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-04-22,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-04-23,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-04-24,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-04-25,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-04-26,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-04-27,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-04-28,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-04-29,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-04-30,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-05-01,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-05-02,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-05-03,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-05-04,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-05-05,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-05-06,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-05-07,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-05-08,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-05-09,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-05-10,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-05-11,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-05-12,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-05-13,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-05-14,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-05-15,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-05-16,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-05-17,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-05-18,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-05-19,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-05-20,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-05-21,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-05-22,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-05-23,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-05-24,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-05-25,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-05-26,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-05-27,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-05-28,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-05-29,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-05-30,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-05-31,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-06-01,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-06-02,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-06-03,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-06-04,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-06-05,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-06-06,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-06-07,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-06-08,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-06-09,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-06-10,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-06-11,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-06-12,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-06-13,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-06-14,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-06-15,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-06-16,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-06-17,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-06-18,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-06-19,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-06-20,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-06-21,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-06-22,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-06-23,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-06-24,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-06-25,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-06-26,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-06-27,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-06-28,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-06-29,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-06-30,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-07-01,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
